0,Infinity
1,1.0
2,1.0
3,Infinity
4,Infinity
5,Infinity
6,1.0
7,Infinity
8,Infinity
9,1.0
10,1.0
11,1.0
12,1.0
13,Infinity
14,1.0
15,1.0
16,Infinity
17,Infinity
18,Infinity
19,1.0
20,1.0
21,Infinity
22,Infinity
23,1.0
24,Infinity
25,Infinity
26,1.0
27,1.0
28,Infinity
29,1.0
30,Infinity
31,1.0
32,Infinity
33,1.0
34,1.0
35,1.0
36,Infinity
37,1.0
38,1.0
39,Infinity
40,1.0
41,1.0
42,1.0
43,Infinity
44,Infinity
45,Infinity
46,1.0
47,Infinity
48,1.0
49,1.0
50,Infinity
51,Infinity
52,1.0
53,Infinity
54,1.0
55,Infinity
56,1.0
57,Infinity
58,1.0
59,1.0
60,1.0
61,1.0
62,Infinity
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,Infinity
69,1.0
70,1.0
71,1.0
72,Infinity
73,1.0
74,1.0
75,1.0
76,Infinity
77,Infinity
78,1.0
79,Infinity
80,1.0
81,1.0
82,Infinity
83,1.0
84,Infinity
85,1.0
86,Infinity
87,1.0
88,Infinity
89,1.0
90,1.0
91,1.0
92,Infinity
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,Infinity
99,Infinity
100,Infinity
101,1.0
102,1.0
103,1.0
104,Infinity
105,1.0
106,1.0
107,Infinity
108,Infinity
109,1.0
110,1.0
111,1.0
112,Infinity
113,1.0
114,1.0
115,Infinity
116,1.0
117,Infinity
118,1.0
119,1.0
120,1.0
121,Infinity
122,1.0
123,Infinity
124,1.0
125,Infinity
126,1.0
127,Infinity
128,Infinity
129,1.0
130,Infinity
131,1.0
132,1.0
133,1.0
134,1.0
135,Infinity
136,1.0
137,1.0
138,Infinity
139,1.0
140,Infinity
141,1.0
142,1.0
143,Infinity
144,1.0
145,1.0
146,1.0
147,1.0
148,Infinity
149,Infinity
150,1.0
151,1.0
152,1.0
153,Infinity
154,Infinity
155,Infinity
156,1.0
157,Infinity
158,1.0
159,1.0
160,1.0
161,Infinity
162,1.0
163,1.0
164,Infinity
165,1.0
166,1.7976931348623157E308
167,Infinity
168,1.0
169,1.0
170,1.0
171,Infinity
172,Infinity
173,1.0
174,Infinity
175,Infinity
176,1.0
177,Infinity
178,1.0
179,1.0
180,Infinity
181,Infinity
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,Infinity
193,1.0
194,Infinity
195,Infinity
196,1.0
197,Infinity
198,1.0
199,1.0
200,1.0
201,1.0
202,Infinity
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,Infinity
209,1.0
210,Infinity
211,1.0
212,1.0
213,1.0
214,Infinity
215,1.0
216,Infinity
217,1.0
218,Infinity
219,1.0
220,Infinity
221,1.0
222,Infinity
223,Infinity
224,1.0
225,Infinity
226,Infinity
227,1.0
228,Infinity
229,1.0
230,1.0
